policy,t_pos_rise,delta_r,healthy_positive_false_alarms,d01_coverage,d02_coverage,d04_coverage,d01_min_signed_headroom,d02_min_signed_headroom,d04_min_signed_headroom,effective_threshold_min,effective_threshold_max,safe_combined_criterion
A_TRACK_SOURCE,18,77,0,0/30,0/30,0/30,-75,-54,-75,18,18,0
A_TRACK_SOURCE,18,78,0,0/30,0/30,0/30,-76,-55,-76,18,18,0
A_TRACK_SOURCE,18,79,0,0/30,0/30,0/30,-77,-56,-77,18,18,0
A_TRACK_SOURCE,18,80,0,0/30,0/30,0/30,-78,-57,-78,18,18,0
A_TRACK_SOURCE,18,81,0,0/30,0/30,0/30,-79,-58,-79,18,18,0
A_TRACK_SOURCE,18,82,0,0/30,0/30,0/30,-80,-59,-80,18,18,0
A_TRACK_SOURCE,18,83,0,0/30,0/30,0/30,-81,-60,-81,18,18,0
A_TRACK_SOURCE,18,84,0,0/30,0/30,0/30,-82,-61,-82,18,18,0
A_TRACK_SOURCE,18,85,0,0/30,0/30,0/30,-83,-62,-83,18,18,0
A_TRACK_SOURCE,18,86,0,0/30,0/30,0/30,-84,-63,-84,18,18,0
A_TRACK_SOURCE,18,87,0,0/30,0/30,0/30,-85,-64,-85,18,18,0
A_TRACK_SOURCE,18,88,0,0/30,0/30,0/30,-86,-65,-86,18,18,0
A_TRACK_SOURCE,18,89,0,0/30,0/30,0/30,-87,-66,-87,18,18,0
A_TRACK_SOURCE,18,90,0,0/30,0/30,0/30,-88,-67,-88,18,18,0
A_TRACK_SOURCE,18,91,0,0/30,0/30,0/30,-89,-68,-89,18,18,0
A_TRACK_SOURCE,18,92,0,0/30,0/30,0/30,-90,-69,-90,18,18,0
A_TRACK_SOURCE,18,93,0,0/30,0/30,0/30,-91,-70,-91,18,18,0
A_TRACK_SOURCE,18,94,0,0/30,0/30,0/30,-92,-71,-92,18,18,0
A_TRACK_SOURCE,18,95,0,0/30,0/30,0/30,-93,-72,-93,18,18,0
A_TRACK_SOURCE,18,96,0,0/30,0/30,0/30,-94,-73,-94,18,18,0
A_TRACK_SOURCE,18,97,0,0/30,0/30,0/30,-95,-74,-95,18,18,0
A_TRACK_SOURCE,18,98,0,0/30,0/30,0/30,-96,-75,-96,18,18,0
A_TRACK_SOURCE,18,99,0,0/30,0/30,0/30,-97,-76,-97,18,18,0
A_TRACK_SOURCE,18,100,0,0/30,0/30,0/30,-98,-77,-98,18,18,0
A_TRACK_SOURCE,18,101,0,0/30,0/30,0/30,-99,-78,-99,18,18,0
A_TRACK_SOURCE,18,102,0,0/30,0/30,0/30,-100,-79,-100,18,18,0
A_TRACK_SOURCE,18,103,0,0/30,0/30,0/30,-101,-80,-101,18,18,0
A_TRACK_SOURCE,18,104,0,0/30,0/30,0/30,-102,-81,-102,18,18,0
A_TRACK_SOURCE,18,105,0,0/30,0/30,0/30,-103,-82,-103,18,18,0
A_TRACK_SOURCE,18,106,0,0/30,0/30,0/30,-104,-83,-104,18,18,0
A_TRACK_SOURCE,18,107,0,0/30,0/30,0/30,-105,-84,-105,18,18,0
A_TRACK_SOURCE,18,108,0,0/30,0/30,0/30,-106,-85,-106,18,18,0
A_TRACK_SOURCE,18,109,0,0/30,0/30,0/30,-107,-86,-107,18,18,0
A_TRACK_SOURCE,18,110,0,0/30,0/30,0/30,-108,-87,-108,18,18,0
