scenario,operation_index,operation_type,M_before,M_after,F_before,F_after,probe_kind,reachable,formal_gate,legacy_evidence_key,reason,counted_operation,operation,phase,probe_index,changed_thermometer_bits,reset_asserted,reset_release_timing,sclk_low,configuration_edge_s,settle_s,configuration_ck_edge_count,code_constant_during_probe,intended_active_ck_edge_count,q_sample_count,q_samples_same_rail,recovery_guard_s
0p80_normal,11,coarse_probe_b,3,3,0,0,coarse_probe_b,True,True,probe:0p80_normal:7,replayed_frozen_protocol,True,compare_probe,coarse_probe_b,7,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p80_normal,12,coarse_increment,3,4,0,0,,True,True,transition:0p80_normal:coarse_increment:3:4:0:0,replayed_frozen_protocol,True,config_update,coarse_increment,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p80_normal,13,coarse_probe_a,4,4,0,0,coarse_probe_a,True,True,probe:0p80_normal:8,replayed_frozen_protocol,True,compare_probe,coarse_probe_a,8,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p80_normal,14,coarse_probe_b,4,4,0,0,coarse_probe_b,True,True,probe:0p80_normal:9,replayed_frozen_protocol,True,compare_probe,coarse_probe_b,9,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p80_normal,15,coarse_increment,4,5,0,0,,True,True,transition:0p80_normal:coarse_increment:4:5:0:0,replayed_frozen_protocol,True,config_update,coarse_increment,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p80_normal,16,coarse_probe_a,5,5,0,0,coarse_probe_a,True,True,probe:0p80_normal:10,replayed_frozen_protocol,True,compare_probe,coarse_probe_a,10,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p80_normal,17,coarse_probe_b,5,5,0,0,coarse_probe_b,True,True,probe:0p80_normal:11,replayed_frozen_protocol,True,compare_probe,coarse_probe_b,11,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p80_normal,18,coarse_increment,5,6,0,0,,True,True,transition:0p80_normal:coarse_increment:5:6:0:0,replayed_frozen_protocol,True,config_update,coarse_increment,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p80_normal,19,coarse_probe_a,6,6,0,0,coarse_probe_a,True,True,probe:0p80_normal:12,replayed_frozen_protocol,True,compare_probe,coarse_probe_a,12,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p80_normal,20,coarse_probe_b,6,6,0,0,coarse_probe_b,True,True,probe:0p80_normal:13,replayed_frozen_protocol,True,compare_probe,coarse_probe_b,13,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p80_normal,21,coarse_increment,6,7,0,0,,True,True,transition:0p80_normal:coarse_increment:6:7:0:0,replayed_frozen_protocol,True,config_update,coarse_increment,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p80_normal,22,coarse_probe_a,7,7,0,0,coarse_probe_a,True,True,probe:0p80_normal:14,replayed_frozen_protocol,True,compare_probe,coarse_probe_a,14,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p80_normal,23,coarse_probe_b,7,7,0,0,coarse_probe_b,True,True,probe:0p80_normal:15,replayed_frozen_protocol,True,compare_probe,coarse_probe_b,15,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p80_normal,24,coarse_increment,7,8,0,0,,True,True,transition:0p80_normal:coarse_increment:7:8:0:0,replayed_frozen_protocol,True,config_update,coarse_increment,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p80_normal,25,coarse_probe_a,8,8,0,0,coarse_probe_a,True,True,probe:0p80_normal:16,replayed_frozen_protocol,True,compare_probe,coarse_probe_a,16,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p80_normal,26,coarse_probe_b,8,8,0,0,coarse_probe_b,True,True,probe:0p80_normal:17,replayed_frozen_protocol,True,compare_probe,coarse_probe_b,17,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
