scenario,probe_index,protocol_phase,medium_code,fine_code,node,sclk_fall_s,return_rise10_s,return_fall10_s,return_settle_ps,second_rise10_s,second_rise_present,recovery_end_v,recovery_tail_max_v,recovery_tail_min_v,valid,reason
recovery_v4_diagnostic_0p80,33,fine_m7_repeat,7,4,medium_out,3.1117000000000064e-07,3.125854277e-07,3.133292763e-07,2159.2762999993583,3.195288737e-07,False,5.165753935e-07,5.436402e-07,5.165753935e-07,1,
recovery_v4_diagnostic_0p80,33,fine_m7_repeat,7,4,dff_ck,3.1117000000000064e-07,3.12634705e-07,3.135380372e-07,2368.0371999993686,3.195787647e-07,False,3.6761896e-06,3.6761896e-06,2.051680007e-06,1,
recovery_v4_diagnostic_0p80,34,fine_m7_scan,7,5,xor_29,3.211800000000007e-07,3.220035484e-07,3.227659984e-07,1585.9983999992833,3.274454854e-07,False,-8.805339313e-07,-8.805339313e-07,-9.226819078e-07,1,
recovery_v4_diagnostic_0p80,34,fine_m7_scan,7,5,medium_out,3.211800000000007e-07,3.225951912e-07,3.233375585e-07,2157.5584999993102,3.280285469e-07,False,-1.124603358e-06,-1.08457935e-06,-1.124603358e-06,1,
recovery_v4_diagnostic_0p80,34,fine_m7_scan,7,5,dff_ck,3.211800000000007e-07,3.2264497e-07,3.235569461e-07,2376.9460999992652,3.280784928e-07,False,7.158756649e-06,7.158756649e-06,3.038083572e-06,1,
recovery_v4_diagnostic_0p80,35,fine_m7_repeat,7,5,xor_29,3.2968000000000077e-07,3.305035678e-07,3.312660877e-07,1586.0876999992472,3.374559996e-07,False,3.100475774e-07,7.224363514e-07,3.100475774e-07,1,
recovery_v4_diagnostic_0p80,35,fine_m7_repeat,7,5,medium_out,3.2968000000000077e-07,3.310951434e-07,3.3183833e-07,2158.32999999925,3.3803972e-07,False,7.462024188e-07,8.328902309e-07,7.462024188e-07,1,
recovery_v4_diagnostic_0p80,35,fine_m7_repeat,7,5,dff_ck,3.2968000000000077e-07,3.311449527e-07,3.320574845e-07,2377.4844999992383,3.380901003e-07,False,-4.5521893e-07,4.560742912e-06,-4.5521893e-07,1,
recovery_v4_diagnostic_0p80,36,fine_m7_scan,7,6,xor_29,3.3969000000000084e-07,3.405139609e-07,3.412757082e-07,1585.708199999141,3.45955793e-07,False,-2.47160514e-07,-2.348758209e-07,-2.47160514e-07,1,
recovery_v4_diagnostic_0p80,36,fine_m7_scan,7,6,medium_out,3.3969000000000084e-07,3.411054798e-07,3.418475834e-07,2157.583399999168,3.465391865e-07,False,-2.17453405e-06,-2.161056225e-06,-2.17453405e-06,1,
recovery_v4_diagnostic_0p80,36,fine_m7_scan,7,6,dff_ck,3.3969000000000084e-07,3.411560348e-07,3.420760469e-07,2386.0468999991485,3.465897409e-07,False,-1.618600247e-06,3.937032619e-07,-1.618600247e-06,1,
recovery_v4_diagnostic_0p80,37,fine_m7_repeat,7,6,xor_29,3.481900000000009e-07,3.490145469e-07,3.497762352e-07,1586.235199999094,3.559655145e-07,False,-9.22454181e-07,-9.22454181e-07,-1.00336698e-06,1,
recovery_v4_diagnostic_0p80,37,fine_m7_repeat,7,6,medium_out,3.481900000000009e-07,3.496068277e-07,3.503499721e-07,2159.972099999087,3.565484624e-07,False,6.367686297e-07,6.85523814e-07,6.367686297e-07,1,
