T_POS,rule,healthy_rise_samples,healthy_positive_false_alarms,healthy_positive_false_alarm_rate,D01_samples,D01_detected,D01_coverage,D02_samples,D02_detected,D02_coverage,diagnostic_only,formal_margin_unchanged
240,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
241,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
242,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
243,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
244,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
245,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
246,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
247,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
248,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
249,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
250,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
251,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
