dataset,seed,event_index,event,M_FF,M_REF_RISE,signed_e,abs_e,q_ff,existing_abs_margin_alarm,diagnostic_signed_T18_alarm
healthy_rise,41017,14,146.0 ns RISE,182,198,-16,16,000000000000000000000001111111,0,0
healthy_rise,41017,16,171.0 ns RISE,182,198,-16,16,000000000000000000000001111111,0,0
healthy_rise,41017,18,191.0 ns RISE,182,198,-16,16,000000000000000000000001111111,0,0
healthy_rise,41017,20,211.0 ns RISE,182,198,-16,16,000000000000000000000001111111,0,0
healthy_rise,41017,22,231.0 ns RISE,204,198,6,6,000000000000000000000011111111,0,0
healthy_rise,41018,0,1.0 ns RISE,225,219,6,6,000000000000000000000111111111,0,0
healthy_rise,41018,2,21.0 ns RISE,225,219,6,6,000000000000000000000111111111,0,0
healthy_rise,41018,4,41.0 ns RISE,225,219,6,6,000000000000000000000111111111,0,0
healthy_rise,41018,6,61.0 ns RISE,204,219,-15,15,000000000000000000000011111111,0,0
healthy_rise,41018,8,86.0 ns RISE,204,219,-15,15,000000000000000000000011111111,0,0
healthy_rise,41018,10,106.0 ns RISE,225,219,6,6,000000000000000000000111111111,0,0
healthy_rise,41018,12,126.0 ns RISE,204,219,-15,15,000000000000000000000011111111,0,0
healthy_rise,41018,14,146.0 ns RISE,204,219,-15,15,000000000000000000000011111111,0,0
healthy_rise,41018,16,171.0 ns RISE,204,219,-15,15,000000000000000000000011111111,0,0
healthy_rise,41018,18,191.0 ns RISE,204,219,-15,15,000000000000000000000011111111,0,0
healthy_rise,41018,20,211.0 ns RISE,204,219,-15,15,000000000000000000000011111111,0,0
healthy_rise,41018,22,231.0 ns RISE,225,219,6,6,000000000000000000000111111111,0,0
healthy_rise,41019,0,1.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41019,2,21.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41019,4,41.0 ns RISE,204,187,17,17,000000000000000000000011111111,0,0
healthy_rise,41019,6,61.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41019,8,86.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41019,10,106.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41019,12,126.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41019,14,146.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41019,16,171.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
